rating,playback_used,ebird_code,channels,date,pitch,duration,filename,speed,species,number_of_notes,title,secondary_labels,bird_seen,sci_name,location,latitude,sampling_rate,type,elevation,description,bitrate_of_mp3,file_type,volume,background,xc_id,url,country,author,primary_label,longitude,length,time,recordist,license,sample,label
3.0,no,veery,2 (stereo),2013-06-22,Not specified,44,XC139437.mp3,Not specified,Veery,Not specified,XC139437 Veery (Catharus fuscescens),[],no,Catharus fuscescens," Martin Hugh Macguire Hemlocks BCA, Clarence Fahnestock Memorial SP, New York",41.429,44100 (Hz),call,? m,,128000 (bps),mp3,Not specified,,139437,https://www.xeno-canto.org/139437,United States,Daniel Parker,Catharus fuscescens_Veery,-73.858,Not specified,6:20,Daniel Parker,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,veery/XC139437.npy,87
4.5,no,bkpwar,2 (stereo),2016-06-05,level,47,XC328798.mp3,level,Blackpoll Warbler,7-20,XC328798 Blackpoll Warbler (Setophaga striata),['Regulus satrapa_Golden-crowned Kinglet'],yes,Setophaga striata," Seal Island, Yarmouth County, Nova Scotia",43.4064,44100 (Hz),"male, song",10 m,"Recorded on Seal Island. Unbanded male #23
**Zoom H2n**",150735 (bps),mp3,both,Golden-crowned Kinglet (Regulus satrapa),328798,https://www.xeno-canto.org/328798,Canada,Lucas Berrigan,Setophaga striata_Blackpoll Warbler,-66.0198,0-3(s),10:04,Lucas Berrigan,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,bkpwar/XC328798.npy,12
2.5,yes,louwat,2 (stereo),2015-04-05,Not specified,37,XC253963.mp3,Not specified,Louisiana Waterthrush,Not specified,XC253963 Louisiana Waterthrush (Parkesia motacilla),"['Vireo olivaceus_Red-eyed Vireo', 'Baeolophus bicolor_Tufted Titmouse', 'Cardinalis cardinalis_Northern Cardinal']",yes,Parkesia motacilla," 1 (near  Mooringsport), Caddo Parish, Louisiana",32.6548,44100 (Hz),"call, song",60 m,In response to very brief playback. Light/moderate rain,320000 (bps),mp3,Not specified,Red-eyed Vireo (Vireo olivaceus); Tufted Titmouse (Baeolophus bicolor); Northern Cardinal (Cardinalis cardinalis),253963,https://www.xeno-canto.org/253963,United States,Terry Davis,Parkesia motacilla_Louisiana Waterthrush,-93.9486,0-3(s),08:45,Terry Davis,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,louwat/XC253963.npy,56
2.5,no,canwar,2 (stereo),2013-06-22,Not specified,70,XC139447.mp3,Not specified,Canada Warbler,Not specified,XC139447 Canada Warbler (Cardellina canadensis),['Parkesia noveboracensis_Northern Waterthrush'],no,Cardellina canadensis," Martin Hugh Macguire Hemlocks BCA, Clarence Fahnestock Memorial SP, New York",41.429,44100 (Hz),call,? m,Has been recorded breeding here since 1997. Song also heard but not recorded.,128000 (bps),mp3,Not specified,Northern Waterthrush (Parkesia noveboracensis),139447,https://www.xeno-canto.org/139447,United States,Daniel Parker,Cardellina canadensis_Canada Warbler,-73.858,Not specified,6:10,Daniel Parker,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,canwar/XC139447.npy,26
4.5,no,rebnut,2 (stereo),2016-05-05,Not specified,38,XC349777.mp3,Not specified,Red-breasted Nuthatch,Not specified,XC349777 Red-breasted Nuthatch (Sitta canadensis),"['Turdus migratorius_American Robin', 'Junco hyemalis_Dark-eyed Junco', 'Sphyrapicus nuchalis_Red-naped Sapsucker']",yes,Sitta canadensis," Zortman, Blaine County, Montana",47.9386,44100 (Hz),call,1400 m,Recording amplified.,320219 (bps),mp3,Not specified,American Robin (Turdus migratorius); Dark-eyed Junco (Junco hyemalis); Red-naped Sapsucker (Sphyrapicus nuchalis),349777,https://www.xeno-canto.org/349777,United States,Thomas Magarian,Sitta canadensis_Red-breasted Nuthatch,-108.5087,Not specified,09:24,Thomas Magarian,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,rebnut/XC349777.npy,72
3.0,no,btnwar,1 (mono),2015-04-18,decreasing,20,XC236572.mp3,accelerating,Black-throated Green Warbler,1-3,XC236572 Black-throated Green Warbler (Setophaga virens),[],no,Setophaga virens," Coldwater, DeSoto County, Mississippi",34.7638,22050 (Hz),song,90 m,Heard singing on nature trails at Arkabutla.  Could not locate in the dense foliage.,58941 (bps),mp3,level,,236572,https://www.xeno-canto.org/236572,United States,Hal Mitchell,Setophaga virens_Black-throated Green Warbler,-90.1336,0-3(s),09:30,Hal Mitchell,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,btnwar/XC236572.npy,19
4.5,no,tuftit,2 (stereo),2017-05-12,Not specified,78,XC370491.mp3,Not specified,Tufted Titmouse,Not specified,XC370491 Tufted Titmouse (Baeolophus bicolor),"['Myiarchus crinitus_Great Crested Flycatcher', 'Corvus brachyrhynchos_American Crow', 'Contopus virens_Eastern Wood-Pewee', 'Meleagris gallopavo_Wild Turkey', 'Quiscalus quiscula_Common Grackle']",no,Baeolophus bicolor," Konza Prairie Nature Preserve, Riley County, Kansas",39.107,48000 (Hz),song,320 m,"Natural, typical song from bird in fairly dense oak-hickory woodland.",128000 (bps),mp3,Not specified,Great Crested Flycatcher (Myiarchus crinitus); American Crow (Corvus brachyrhynchos); Eastern Wood Pewee (Contopus virens); Wild Turkey (Meleagris gallopavo); Common Grackle (Quiscalus quiscula),370491,https://www.xeno-canto.org/370491,United States,Eric DeFonso,Baeolophus bicolor_Tufted Titmouse,-96.6085,Not specified,06:03,Eric DeFonso,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,tuftit/XC370491.npy,86
3.0,no,purfin,2 (stereo),2014-05-15,Not specified,25,XC198760.mp3,Not specified,Purple Finch,Not specified,XC198760 Purple Finch (Haemorhous purpureus),[],yes,Haemorhous purpureus," Beaver County (near  Sherwood Park), Division No. 10, Alberta",53.4591,44100 (Hz),song,750 m,,192000 (bps),mp3,Not specified,,198760,https://www.xeno-canto.org/198760,Canada,Michelle Knaggs,Haemorhous purpureus_Purple Finch,-112.813,Not specified,12:00,Michelle Knaggs,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,purfin/XC198760.npy,71
2.5,no,rocpig,2 (stereo),2008-09-11,level,127,XC56697.mp3,level,Rock Dove,1-3,XC56697 Rock Dove (Columba livia),"['Pycnonotus barbatus_Common Bulbul', 'Passer domesticus_House Sparrow']",yes,Columba livia, Marakesh,31.6345,44100 (Hz),call,100 m,This bird was sitting on the veranda of my hotel room,128000 (bps),mp3,level,Common Bulbul (Pycnonotus barbatus); House Sparrow (Passer domesticus),56697,https://www.xeno-canto.org/56697,Morocco,Mike Nelson,Columba livia_Rock Pigeon,-8.0239,6-10(s),7:30am,Mike Nelson,Creative Commons Attribution-NonCommercial-ShareAlike 3.0,rocpig/XC56697.npy,78
2.5,no,evegro,2 (stereo),2017-05-13,Not specified,15,XC385782.mp3,Not specified,Evening Grosbeak,Not specified,XC385782 Evening Grosbeak (Hesperiphona vespertina),['Turdus migratorius_American Robin'],yes,Hesperiphona vespertina," Walton Ranger Station, Essex, Flathead County, Montana",48.2736,48000 (Hz),call,1100 m,Recording amplified. High pass filter 6db.,320494 (bps),mp3,Not specified,American Robin (Turdus migratorius),385782,https://www.xeno-canto.org/385782,United States,Thomas Magarian,Coccothraustes vespertinus_Evening Grosbeak,-113.6025,Not specified,12:54,Thomas Magarian,Creative Commons Attribution-NonCommercial-ShareAlike 4.0,evegro/XC385782.npy,39
