query_ids,numRecordings,numSpecies,page,numPages,id,gen,sp,ssp,group,en,rec,cnt,loc,lat,lng,alt,type,sex,stage,method,url,file,file-name,lic,q,length,time,date,uploaded,also,rmk,bird-seen,animal-seen,playback-used,temp,regnr,auto,dvc,mic,smp,sono.small,sono.med,sono.large,sono.full,osci.small,osci.med,osci.large
124861,1,1,1,1,124861,Nothocercus,bonapartei,plumbeiceps,birds,Highland Tinamou,Leonardo Ordóñez-Delgado,Ecuador,"Sector Colibrí, Cordillera del Cóndor (Zamora Chinchipe)",-3.7614,-78.5053,1400,song,,,field recording,//xeno-canto.org/124861,https://xeno-canto.org/124861/download,XC124861-4. Nothocercus bonapartei XC.mp3,//creativecommons.org/licenses/by-nc-sa/3.0/,A,1:51,08:00,2012-11-09,2013-03-13,[],"First documented records of this species in the Cordillera del Cóndor, Ecuador

[Paper  REO](https://www.academia.edu/32574972/Primer_registro_de_Tinam%C3%BA_serrano_Nothocercus_bonapartei_en_la_Cordillera_del_C%C3%B3ndor_sureste_de_Ecuador)

[Photo](http://www.flickr.com/photos/leo_od7/8599348112/in/photostream/lightbox/)",yes,yes,no,,,no,,,44100,//xeno-canto.org/sounds/uploaded/RJNSQXBIJE/ffts/XC124861-small.png,//xeno-canto.org/sounds/uploaded/RJNSQXBIJE/ffts/XC124861-med.png,//xeno-canto.org/sounds/uploaded/RJNSQXBIJE/ffts/XC124861-large.png,//xeno-canto.org/sounds/uploaded/RJNSQXBIJE/ffts/XC124861-full.png,//xeno-canto.org/sounds/uploaded/RJNSQXBIJE/wave/XC124861-small.png,//xeno-canto.org/sounds/uploaded/RJNSQXBIJE/wave/XC124861-med.png,//xeno-canto.org/sounds/uploaded/RJNSQXBIJE/wave/XC124861-large.png
173699,1,1,1,1,173699,Ortalis,squamata,,birds,Scaled Chachalaca,Douglas Meyer,Brazil,"Vidal Ramos, Santa Catarina",-27.3546,-49.3459,360,song,,,field recording,//xeno-canto.org/173699,https://xeno-canto.org/173699/download,XC173699-Cracidae_Ortalis_guttata_23_03_2012_H07_29_Macaco_Vidal_Ramos.mp3,//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:49,07:29,2012-03-23,2014-04-11,[],,yes,yes,no,,,no,,,32000,//xeno-canto.org/sounds/uploaded/MNENFHYTAE/ffts/XC173699-small.png,//xeno-canto.org/sounds/uploaded/MNENFHYTAE/ffts/XC173699-med.png,//xeno-canto.org/sounds/uploaded/MNENFHYTAE/ffts/XC173699-large.png,//xeno-canto.org/sounds/uploaded/MNENFHYTAE/ffts/XC173699-full.png,//xeno-canto.org/sounds/uploaded/MNENFHYTAE/wave/XC173699-small.png,//xeno-canto.org/sounds/uploaded/MNENFHYTAE/wave/XC173699-med.png,//xeno-canto.org/sounds/uploaded/MNENFHYTAE/wave/XC173699-large.png
332799,1,1,1,1,332799,Crypturellus,cinnamomeus,goldmani,birds,Thicket Tinamou,Ross Gallardy,Mexico,Sendero de Xocen,20.5984,-88.1489,30,song,,,field recording,//xeno-canto.org/332799,https://xeno-canto.org/332799/download,XC332799-ThicketTinamou_Yucatan_081916_song.mp3,//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:34,18:30,2016-08-19,2016-08-31,[],,yes,yes,no,,,no,,,44100,//xeno-canto.org/sounds/uploaded/FNIOJOZADD/ffts/XC332799-small.png,//xeno-canto.org/sounds/uploaded/FNIOJOZADD/ffts/XC332799-med.png,//xeno-canto.org/sounds/uploaded/FNIOJOZADD/ffts/XC332799-large.png,//xeno-canto.org/sounds/uploaded/FNIOJOZADD/ffts/XC332799-full.png,//xeno-canto.org/sounds/uploaded/FNIOJOZADD/wave/XC332799-small.png,//xeno-canto.org/sounds/uploaded/FNIOJOZADD/wave/XC332799-med.png,//xeno-canto.org/sounds/uploaded/FNIOJOZADD/wave/XC332799-large.png
202402,1,1,1,1,202402,Eulipoa,wallacei,,birds,Moluccan Megapode,Frank Lambert,Indonesia,,,,1680,song,,,field recording,//xeno-canto.org/202402,,,//creativecommons.org/licenses/by-nc-nd/4.0/,B,2:04,08:02,2014-09-13,2014-11-13,[],"In response to playback of XC202399,  XC202400, which is presumed to be the same bird. Although the bird was not actually seen calling, a megapode-type bird was seen approaching in dense vegetation and making the clucking calls, followed shortly afterwards by the song. Based on the brief view and the fact that this is nothing like Dusky Scrubfowl, this recording must surely be Moluccan Megapode. They were seen in the forest elsewhere on the mountain.",no,no,yes,,,no,,,44100,//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC202402-small.png,//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC202402-med.png,//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC202402-large.png,//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC202402-full.png,//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/wave/XC202402-small.png,//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/wave/XC202402-med.png,//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/wave/XC202402-large.png
257240,1,1,1,1,257240,Tinamus,major,peruvianus,birds,Great Tinamou,John V. Moore,Ecuador,"Pastaza: Kapawi area, left bank Río Pastaza",-2.54,-76.859,250,song,,,field recording,//xeno-canto.org/257240,https://xeno-canto.org/257240/download,XC257240-01.003.01.Great_Tinamou.mp3,//creativecommons.org/licenses/by-nc-sa/4.0/,A,1:14,?,1996-10-00,2015-07-16,[],<a href=http://johnvmoorenaturerecordings.com/pubs/ECUAD/main.htm>Moore et al. 2013: Bird Sounds of Ecuador DVD </a>Intervals shortened,unknown,unknown,no,,,no,,,44100,//xeno-canto.org/sounds/uploaded/YKKDTZHLUU/ffts/XC257240-small.png,//xeno-canto.org/sounds/uploaded/YKKDTZHLUU/ffts/XC257240-med.png,//xeno-canto.org/sounds/uploaded/YKKDTZHLUU/ffts/XC257240-large.png,//xeno-canto.org/sounds/uploaded/YKKDTZHLUU/ffts/XC257240-full.png,//xeno-canto.org/sounds/uploaded/YKKDTZHLUU/wave/XC257240-small.png,//xeno-canto.org/sounds/uploaded/YKKDTZHLUU/wave/XC257240-med.png,//xeno-canto.org/sounds/uploaded/YKKDTZHLUU/wave/XC257240-large.png
481402,1,1,1,1,481402,Nothura,maculosa,,birds,Spotted Nothura,Rosendo Manuel Fraga,Uruguay,"Bañados de la India Muerta, Rocha Department",-33.8,-53.7,10,song,"female, male",,field recording,//xeno-canto.org/481402,https://xeno-canto.org/481402/download,XC481402-NothuramacLascanoUYTape52.mp3,//creativecommons.org/licenses/by-nc-sa/4.0/,no score,0:12,06:30,2007-01-23,2019-06-15,[],"Song of a tinamou of unknown sex, found in shrubby grassland.",yes,yes,no,,,no,,,16000,//xeno-canto.org/sounds/uploaded/JQSYKZHEMB/ffts/XC481402-small.png,//xeno-canto.org/sounds/uploaded/JQSYKZHEMB/ffts/XC481402-med.png,//xeno-canto.org/sounds/uploaded/JQSYKZHEMB/ffts/XC481402-large.png,//xeno-canto.org/sounds/uploaded/JQSYKZHEMB/ffts/XC481402-full.png,//xeno-canto.org/sounds/uploaded/JQSYKZHEMB/wave/XC481402-small.png,//xeno-canto.org/sounds/uploaded/JQSYKZHEMB/wave/XC481402-med.png,//xeno-canto.org/sounds/uploaded/JQSYKZHEMB/wave/XC481402-large.png
337653,1,1,1,1,337653,Alectura,lathami,,birds,Australian Brushturkey,Marc Anderson,Australia,"Crater Lakes National Park (near  Lake Barrine), Queensland",-17.2813,145.6301,750,call,,,field recording,//xeno-canto.org/337653,https://xeno-canto.org/337653/download,XC337653-brush-turkey_Lake_Eacham1.mp3,//creativecommons.org/licenses/by-nc-nd/4.0/,B,0:06,06:30,2015-11-12,2016-10-10,[],,unknown,unknown,unknown,,,no,,,48000,//xeno-canto.org/sounds/uploaded/EHGWCIGILC/ffts/XC337653-small.png,//xeno-canto.org/sounds/uploaded/EHGWCIGILC/ffts/XC337653-med.png,//xeno-canto.org/sounds/uploaded/EHGWCIGILC/ffts/XC337653-large.png,//xeno-canto.org/sounds/uploaded/EHGWCIGILC/ffts/XC337653-full.png,//xeno-canto.org/sounds/uploaded/EHGWCIGILC/wave/XC337653-small.png,//xeno-canto.org/sounds/uploaded/EHGWCIGILC/wave/XC337653-med.png,//xeno-canto.org/sounds/uploaded/EHGWCIGILC/wave/XC337653-large.png
260368,1,1,1,1,260368,Penelope,montagnii,brooki,birds,Andean Guan,Mitch Lysinger,Ecuador,Napo: upper Cordillera de los Huacamayos,-0.623,-77.839,2100,"call, excited calls",,,field recording,//xeno-canto.org/260368,https://xeno-canto.org/260368/download,XC260368-23.004.04.Andean_Guan.mp3,//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:20,?,2009-02-00,2015-07-18,[],<a href=http://johnvmoorenaturerecordings.com/pubs/ECUAD/main.htm>Moore et al. 2013: Bird Sounds of Ecuador DVD </a>Single bird,unknown,unknown,no,,,no,,,44100,//xeno-canto.org/sounds/uploaded/OWZTPLFLJS/ffts/XC260368-small.png,//xeno-canto.org/sounds/uploaded/OWZTPLFLJS/ffts/XC260368-med.png,//xeno-canto.org/sounds/uploaded/OWZTPLFLJS/ffts/XC260368-large.png,//xeno-canto.org/sounds/uploaded/OWZTPLFLJS/ffts/XC260368-full.png,//xeno-canto.org/sounds/uploaded/OWZTPLFLJS/wave/XC260368-small.png,//xeno-canto.org/sounds/uploaded/OWZTPLFLJS/wave/XC260368-med.png,//xeno-canto.org/sounds/uploaded/OWZTPLFLJS/wave/XC260368-large.png
261547,1,1,1,1,261547,Penelope,ortoni,,birds,Baudo Guan,Olaf Jahn,Ecuador,"Esmeraldas: Playa de Oro, village and vicinity, Río Santiago",0.883,-78.8,70,"alarm call, wing noise",,,field recording,//xeno-canto.org/261547,https://xeno-canto.org/261547/download,XC261547-23.005.07.Baudo_Guan.mp3,//creativecommons.org/licenses/by-nc-sa/4.0/,A,0:16,?,1999-07-27,2015-07-19,[],<a href=http://johnvmoorenaturerecordings.com/pubs/ECUAD/main.htm>Moore et al. 2013: Bird Sounds of Ecuador DVD </a>Bird flushed from the ground. Looped once,unknown,unknown,no,,,no,,,44100,//xeno-canto.org/sounds/uploaded/UZXDJEAXMH/ffts/XC261547-small.png,//xeno-canto.org/sounds/uploaded/UZXDJEAXMH/ffts/XC261547-med.png,//xeno-canto.org/sounds/uploaded/UZXDJEAXMH/ffts/XC261547-large.png,//xeno-canto.org/sounds/uploaded/UZXDJEAXMH/ffts/XC261547-full.png,//xeno-canto.org/sounds/uploaded/UZXDJEAXMH/wave/XC261547-small.png,//xeno-canto.org/sounds/uploaded/UZXDJEAXMH/wave/XC261547-med.png,//xeno-canto.org/sounds/uploaded/UZXDJEAXMH/wave/XC261547-large.png
62895,1,1,1,1,62895,Tinamus,osgoodi,,birds,Black Tinamou,Daniel Lane,Peru,"Megantoni Camp 1, Cusco dept.",-12.175,-72.631,840,song,,,field recording,//xeno-canto.org/62895,https://xeno-canto.org/62895/download,Tinamus osgoodii0403-021.mp3,//creativecommons.org/licenses/by-nc-sa/3.0/,C,0:16,5:35,2004-04-28,2010-10-06,"['Cymbilaimus sanctaemariae', 'Synallaxis gujanensis']",Natural song at dusk from across valley.,unknown,unknown,unknown,,,no,,,44100,//xeno-canto.org/sounds/uploaded/WOEAFQRMUD/ffts/XC62895-small.png,//xeno-canto.org/sounds/uploaded/WOEAFQRMUD/ffts/XC62895-med.png,//xeno-canto.org/sounds/uploaded/WOEAFQRMUD/ffts/XC62895-large.png,//xeno-canto.org/sounds/uploaded/WOEAFQRMUD/ffts/XC62895-full.png,//xeno-canto.org/sounds/uploaded/WOEAFQRMUD/wave/XC62895-small.png,//xeno-canto.org/sounds/uploaded/WOEAFQRMUD/wave/XC62895-med.png,//xeno-canto.org/sounds/uploaded/WOEAFQRMUD/wave/XC62895-large.png
