ids,response
124861,"{""numRecordings"": ""1"", ""numSpecies"": ""1"", ""page"": 1, ""numPages"": 1, ""recordings"": [{""id"": ""124861"", ""gen"": ""Nothocercus"", ""sp"": ""bonapartei"", ""ssp"": ""plumbeiceps"", ""group"": ""birds"", ""en"": ""Highland Tinamou"", ""rec"": ""Leonardo Ord\u00f3\u00f1ez-Delgado"", ""cnt"": ""Ecuador"", ""loc"": ""Sector Colibr\u00ed, Cordillera del C\u00f3ndor (Zamora Chinchipe)"", ""lat"": ""-3.7614"", ""lng"": ""-78.5053"", ""alt"": ""1400"", ""type"": ""song"", ""sex"": """", ""stage"": """", ""method"": ""field recording"", ""url"": ""//xeno-canto.org/124861"", ""file"": ""https://xeno-canto.org/124861/download"", ""file-name"": ""XC124861-4. Nothocercus bonapartei XC.mp3"", ""sono"": {""small"": ""//xeno-canto.org/sounds/uploaded/RJNSQXBIJE/ffts/XC124861-small.png"", ""med"": ""//xeno-canto.org/sounds/uploaded/RJNSQXBIJE/ffts/XC124861-med.png"", ""large"": ""//xeno-canto.org/sounds/uploaded/RJNSQXBIJE/ffts/XC124861-large.png"", ""full"": ""//xeno-canto.org/sounds/uploaded/RJNSQXBIJE/ffts/XC124861-full.png""}, ""osci"": {""small"": ""//xeno-canto.org/sounds/uploaded/RJNSQXBIJE/wave/XC124861-small.png"", ""med"": ""//xeno-canto.org/sounds/uploaded/RJNSQXBIJE/wave/XC124861-med.png"", ""large"": ""//xeno-canto.org/sounds/uploaded/RJNSQXBIJE/wave/XC124861-large.png""}, ""lic"": ""//creativecommons.org/licenses/by-nc-sa/3.0/"", ""q"": ""A"", ""length"": ""1:51"", ""time"": ""08:00"", ""date"": ""2012-11-09"", ""uploaded"": ""2013-03-13"", ""also"": [], ""rmk"": ""First documented records of this species in the Cordillera del C\u00f3ndor, Ecuador\r\n\r\n[Paper  REO](https://www.academia.edu/32574972/Primer_registro_de_Tinam%C3%BA_serrano_Nothocercus_bonapartei_en_la_Cordillera_del_C%C3%B3ndor_sureste_de_Ecuador)\r\n\r\n[Photo](http://www.flickr.com/photos/leo_od7/8599348112/in/photostream/lightbox/)"", ""bird-seen"": ""yes"", ""animal-seen"": ""yes"", ""playback-used"": ""no"", ""temp"": """", ""regnr"": """", ""auto"": ""no"", ""dvc"": """", ""mic"": """", ""smp"": ""44100""}]}"
173699,"{""numRecordings"": ""1"", ""numSpecies"": ""1"", ""page"": 1, ""numPages"": 1, ""recordings"": [{""id"": ""173699"", ""gen"": ""Ortalis"", ""sp"": ""squamata"", ""ssp"": """", ""group"": ""birds"", ""en"": ""Scaled Chachalaca"", ""rec"": ""Douglas Meyer"", ""cnt"": ""Brazil"", ""loc"": ""Vidal Ramos, Santa Catarina"", ""lat"": ""-27.3546"", ""lng"": ""-49.3459"", ""alt"": ""360"", ""type"": ""song"", ""sex"": """", ""stage"": """", ""method"": ""field recording"", ""url"": ""//xeno-canto.org/173699"", ""file"": ""https://xeno-canto.org/173699/download"", ""file-name"": ""XC173699-Cracidae_Ortalis_guttata_23_03_2012_H07_29_Macaco_Vidal_Ramos.mp3"", ""sono"": {""small"": ""//xeno-canto.org/sounds/uploaded/MNENFHYTAE/ffts/XC173699-small.png"", ""med"": ""//xeno-canto.org/sounds/uploaded/MNENFHYTAE/ffts/XC173699-med.png"", ""large"": ""//xeno-canto.org/sounds/uploaded/MNENFHYTAE/ffts/XC173699-large.png"", ""full"": ""//xeno-canto.org/sounds/uploaded/MNENFHYTAE/ffts/XC173699-full.png""}, ""osci"": {""small"": ""//xeno-canto.org/sounds/uploaded/MNENFHYTAE/wave/XC173699-small.png"", ""med"": ""//xeno-canto.org/sounds/uploaded/MNENFHYTAE/wave/XC173699-med.png"", ""large"": ""//xeno-canto.org/sounds/uploaded/MNENFHYTAE/wave/XC173699-large.png""}, ""lic"": ""//creativecommons.org/licenses/by-nc-sa/4.0/"", ""q"": ""no score"", ""length"": ""0:49"", ""time"": ""07:29"", ""date"": ""2012-03-23"", ""uploaded"": ""2014-04-11"", ""also"": [], ""rmk"": """", ""bird-seen"": ""yes"", ""animal-seen"": ""yes"", ""playback-used"": ""no"", ""temp"": """", ""regnr"": """", ""auto"": ""no"", ""dvc"": """", ""mic"": """", ""smp"": ""32000""}]}"
332799,"{""numRecordings"": ""1"", ""numSpecies"": ""1"", ""page"": 1, ""numPages"": 1, ""recordings"": [{""id"": ""332799"", ""gen"": ""Crypturellus"", ""sp"": ""cinnamomeus"", ""ssp"": ""goldmani"", ""group"": ""birds"", ""en"": ""Thicket Tinamou"", ""rec"": ""Ross Gallardy"", ""cnt"": ""Mexico"", ""loc"": ""Sendero de Xocen"", ""lat"": ""20.5984"", ""lng"": ""-88.1489"", ""alt"": ""30"", ""type"": ""song"", ""sex"": """", ""stage"": """", ""method"": ""field recording"", ""url"": ""//xeno-canto.org/332799"", ""file"": ""https://xeno-canto.org/332799/download"", ""file-name"": ""XC332799-ThicketTinamou_Yucatan_081916_song.mp3"", ""sono"": {""small"": ""//xeno-canto.org/sounds/uploaded/FNIOJOZADD/ffts/XC332799-small.png"", ""med"": ""//xeno-canto.org/sounds/uploaded/FNIOJOZADD/ffts/XC332799-med.png"", ""large"": ""//xeno-canto.org/sounds/uploaded/FNIOJOZADD/ffts/XC332799-large.png"", ""full"": ""//xeno-canto.org/sounds/uploaded/FNIOJOZADD/ffts/XC332799-full.png""}, ""osci"": {""small"": ""//xeno-canto.org/sounds/uploaded/FNIOJOZADD/wave/XC332799-small.png"", ""med"": ""//xeno-canto.org/sounds/uploaded/FNIOJOZADD/wave/XC332799-med.png"", ""large"": ""//xeno-canto.org/sounds/uploaded/FNIOJOZADD/wave/XC332799-large.png""}, ""lic"": ""//creativecommons.org/licenses/by-nc-sa/4.0/"", ""q"": ""A"", ""length"": ""0:34"", ""time"": ""18:30"", ""date"": ""2016-08-19"", ""uploaded"": ""2016-08-31"", ""also"": [], ""rmk"": """", ""bird-seen"": ""yes"", ""animal-seen"": ""yes"", ""playback-used"": ""no"", ""temp"": """", ""regnr"": """", ""auto"": ""no"", ""dvc"": """", ""mic"": """", ""smp"": ""44100""}]}"
202402,"{""numRecordings"": ""1"", ""numSpecies"": ""1"", ""page"": 1, ""numPages"": 1, ""recordings"": [{""id"": ""202402"", ""gen"": ""Eulipoa"", ""sp"": ""wallacei"", ""ssp"": """", ""group"": ""birds"", ""en"": ""Moluccan Megapode"", ""rec"": ""Frank Lambert"", ""cnt"": ""Indonesia"", ""loc"": """", ""lat"": """", ""lng"": """", ""alt"": ""1680"", ""type"": ""song"", ""sex"": """", ""stage"": """", ""method"": ""field recording"", ""url"": ""//xeno-canto.org/202402"", ""file"": """", ""file-name"": """", ""sono"": {""small"": ""//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC202402-small.png"", ""med"": ""//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC202402-med.png"", ""large"": ""//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC202402-large.png"", ""full"": ""//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/ffts/XC202402-full.png""}, ""osci"": {""small"": ""//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/wave/XC202402-small.png"", ""med"": ""//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/wave/XC202402-med.png"", ""large"": ""//xeno-canto.org/sounds/uploaded/YTUXOCTUEM/wave/XC202402-large.png""}, ""lic"": ""//creativecommons.org/licenses/by-nc-nd/4.0/"", ""q"": ""B"", ""length"": ""2:04"", ""time"": ""08:02"", ""date"": ""2014-09-13"", ""uploaded"": ""2014-11-13"", ""also"": [], ""rmk"": ""In response to playback of XC202399,  XC202400, which is presumed to be the same bird. Although the bird was not actually seen calling, a megapode-type bird was seen approaching in dense vegetation and making the clucking calls, followed shortly afterwards by the song. Based on the brief view and the fact that this is nothing like Dusky Scrubfowl, this recording must surely be Moluccan Megapode. They were seen in the forest elsewhere on the mountain."", ""bird-seen"": ""no"", ""animal-seen"": ""no"", ""playback-used"": ""yes"", ""temp"": """", ""regnr"": """", ""auto"": ""no"", ""dvc"": """", ""mic"": """", ""smp"": ""44100""}]}"
257240,"{""numRecordings"": ""1"", ""numSpecies"": ""1"", ""page"": 1, ""numPages"": 1, ""recordings"": [{""id"": ""257240"", ""gen"": ""Tinamus"", ""sp"": ""major"", ""ssp"": ""peruvianus"", ""group"": ""birds"", ""en"": ""Great Tinamou"", ""rec"": ""John V. Moore"", ""cnt"": ""Ecuador"", ""loc"": ""Pastaza: Kapawi area, left bank R\u00edo Pastaza"", ""lat"": ""-2.54"", ""lng"": ""-76.859"", ""alt"": ""250"", ""type"": ""song"", ""sex"": """", ""stage"": """", ""method"": ""field recording"", ""url"": ""//xeno-canto.org/257240"", ""file"": ""https://xeno-canto.org/257240/download"", ""file-name"": ""XC257240-01.003.01.Great_Tinamou.mp3"", ""sono"": {""small"": ""//xeno-canto.org/sounds/uploaded/YKKDTZHLUU/ffts/XC257240-small.png"", ""med"": ""//xeno-canto.org/sounds/uploaded/YKKDTZHLUU/ffts/XC257240-med.png"", ""large"": ""//xeno-canto.org/sounds/uploaded/YKKDTZHLUU/ffts/XC257240-large.png"", ""full"": ""//xeno-canto.org/sounds/uploaded/YKKDTZHLUU/ffts/XC257240-full.png""}, ""osci"": {""small"": ""//xeno-canto.org/sounds/uploaded/YKKDTZHLUU/wave/XC257240-small.png"", ""med"": ""//xeno-canto.org/sounds/uploaded/YKKDTZHLUU/wave/XC257240-med.png"", ""large"": ""//xeno-canto.org/sounds/uploaded/YKKDTZHLUU/wave/XC257240-large.png""}, ""lic"": ""//creativecommons.org/licenses/by-nc-sa/4.0/"", ""q"": ""A"", ""length"": ""1:14"", ""time"": ""?"", ""date"": ""1996-10-00"", ""uploaded"": ""2015-07-16"", ""also"": [], ""rmk"": ""<a href=http://johnvmoorenaturerecordings.com/pubs/ECUAD/main.htm>Moore et al. 2013: Bird Sounds of Ecuador DVD </a>Intervals shortened"", ""bird-seen"": ""unknown"", ""animal-seen"": ""unknown"", ""playback-used"": ""no"", ""temp"": """", ""regnr"": """", ""auto"": ""no"", ""dvc"": """", ""mic"": """", ""smp"": ""44100""}]}"
481402,"{""numRecordings"": ""1"", ""numSpecies"": ""1"", ""page"": 1, ""numPages"": 1, ""recordings"": [{""id"": ""481402"", ""gen"": ""Nothura"", ""sp"": ""maculosa"", ""ssp"": """", ""group"": ""birds"", ""en"": ""Spotted Nothura"", ""rec"": ""Rosendo Manuel Fraga"", ""cnt"": ""Uruguay"", ""loc"": ""Ba\u00f1ados de la India Muerta, Rocha Department"", ""lat"": ""-33.8"", ""lng"": ""-53.7"", ""alt"": ""10"", ""type"": ""song"", ""sex"": ""female, male"", ""stage"": """", ""method"": ""field recording"", ""url"": ""//xeno-canto.org/481402"", ""file"": ""https://xeno-canto.org/481402/download"", ""file-name"": ""XC481402-NothuramacLascanoUYTape52.mp3"", ""sono"": {""small"": ""//xeno-canto.org/sounds/uploaded/JQSYKZHEMB/ffts/XC481402-small.png"", ""med"": ""//xeno-canto.org/sounds/uploaded/JQSYKZHEMB/ffts/XC481402-med.png"", ""large"": ""//xeno-canto.org/sounds/uploaded/JQSYKZHEMB/ffts/XC481402-large.png"", ""full"": ""//xeno-canto.org/sounds/uploaded/JQSYKZHEMB/ffts/XC481402-full.png""}, ""osci"": {""small"": ""//xeno-canto.org/sounds/uploaded/JQSYKZHEMB/wave/XC481402-small.png"", ""med"": ""//xeno-canto.org/sounds/uploaded/JQSYKZHEMB/wave/XC481402-med.png"", ""large"": ""//xeno-canto.org/sounds/uploaded/JQSYKZHEMB/wave/XC481402-large.png""}, ""lic"": ""//creativecommons.org/licenses/by-nc-sa/4.0/"", ""q"": ""no score"", ""length"": ""0:12"", ""time"": ""06:30"", ""date"": ""2007-01-23"", ""uploaded"": ""2019-06-15"", ""also"": [], ""rmk"": ""Song of a tinamou of unknown sex, found in shrubby grassland."", ""bird-seen"": ""yes"", ""animal-seen"": ""yes"", ""playback-used"": ""no"", ""temp"": """", ""regnr"": """", ""auto"": ""no"", ""dvc"": """", ""mic"": """", ""smp"": ""16000""}]}"
337653,"{""numRecordings"": ""1"", ""numSpecies"": ""1"", ""page"": 1, ""numPages"": 1, ""recordings"": [{""id"": ""337653"", ""gen"": ""Alectura"", ""sp"": ""lathami"", ""ssp"": """", ""group"": ""birds"", ""en"": ""Australian Brushturkey"", ""rec"": ""Marc Anderson"", ""cnt"": ""Australia"", ""loc"": ""Crater Lakes National Park (near  Lake Barrine), Queensland"", ""lat"": ""-17.2813"", ""lng"": ""145.6301"", ""alt"": ""750"", ""type"": ""call"", ""sex"": """", ""stage"": """", ""method"": ""field recording"", ""url"": ""//xeno-canto.org/337653"", ""file"": ""https://xeno-canto.org/337653/download"", ""file-name"": ""XC337653-brush-turkey_Lake_Eacham1.mp3"", ""sono"": {""small"": ""//xeno-canto.org/sounds/uploaded/EHGWCIGILC/ffts/XC337653-small.png"", ""med"": ""//xeno-canto.org/sounds/uploaded/EHGWCIGILC/ffts/XC337653-med.png"", ""large"": ""//xeno-canto.org/sounds/uploaded/EHGWCIGILC/ffts/XC337653-large.png"", ""full"": ""//xeno-canto.org/sounds/uploaded/EHGWCIGILC/ffts/XC337653-full.png""}, ""osci"": {""small"": ""//xeno-canto.org/sounds/uploaded/EHGWCIGILC/wave/XC337653-small.png"", ""med"": ""//xeno-canto.org/sounds/uploaded/EHGWCIGILC/wave/XC337653-med.png"", ""large"": ""//xeno-canto.org/sounds/uploaded/EHGWCIGILC/wave/XC337653-large.png""}, ""lic"": ""//creativecommons.org/licenses/by-nc-nd/4.0/"", ""q"": ""B"", ""length"": ""0:06"", ""time"": ""06:30"", ""date"": ""2015-11-12"", ""uploaded"": ""2016-10-10"", ""also"": [], ""rmk"": """", ""bird-seen"": ""unknown"", ""animal-seen"": ""unknown"", ""playback-used"": ""unknown"", ""temp"": """", ""regnr"": """", ""auto"": ""no"", ""dvc"": """", ""mic"": """", ""smp"": ""48000""}]}"
260368,"{""numRecordings"": ""1"", ""numSpecies"": ""1"", ""page"": 1, ""numPages"": 1, ""recordings"": [{""id"": ""260368"", ""gen"": ""Penelope"", ""sp"": ""montagnii"", ""ssp"": ""brooki"", ""group"": ""birds"", ""en"": ""Andean Guan"", ""rec"": ""Mitch Lysinger"", ""cnt"": ""Ecuador"", ""loc"": ""Napo: upper Cordillera de los Huacamayos"", ""lat"": ""-0.623"", ""lng"": ""-77.839"", ""alt"": ""2100"", ""type"": ""call, excited calls"", ""sex"": """", ""stage"": """", ""method"": ""field recording"", ""url"": ""//xeno-canto.org/260368"", ""file"": ""https://xeno-canto.org/260368/download"", ""file-name"": ""XC260368-23.004.04.Andean_Guan.mp3"", ""sono"": {""small"": ""//xeno-canto.org/sounds/uploaded/OWZTPLFLJS/ffts/XC260368-small.png"", ""med"": ""//xeno-canto.org/sounds/uploaded/OWZTPLFLJS/ffts/XC260368-med.png"", ""large"": ""//xeno-canto.org/sounds/uploaded/OWZTPLFLJS/ffts/XC260368-large.png"", ""full"": ""//xeno-canto.org/sounds/uploaded/OWZTPLFLJS/ffts/XC260368-full.png""}, ""osci"": {""small"": ""//xeno-canto.org/sounds/uploaded/OWZTPLFLJS/wave/XC260368-small.png"", ""med"": ""//xeno-canto.org/sounds/uploaded/OWZTPLFLJS/wave/XC260368-med.png"", ""large"": ""//xeno-canto.org/sounds/uploaded/OWZTPLFLJS/wave/XC260368-large.png""}, ""lic"": ""//creativecommons.org/licenses/by-nc-sa/4.0/"", ""q"": ""A"", ""length"": ""0:20"", ""time"": ""?"", ""date"": ""2009-02-00"", ""uploaded"": ""2015-07-18"", ""also"": [], ""rmk"": ""<a href=http://johnvmoorenaturerecordings.com/pubs/ECUAD/main.htm>Moore et al. 2013: Bird Sounds of Ecuador DVD </a>Single bird"", ""bird-seen"": ""unknown"", ""animal-seen"": ""unknown"", ""playback-used"": ""no"", ""temp"": """", ""regnr"": """", ""auto"": ""no"", ""dvc"": """", ""mic"": """", ""smp"": ""44100""}]}"
261547,"{""numRecordings"": ""1"", ""numSpecies"": ""1"", ""page"": 1, ""numPages"": 1, ""recordings"": [{""id"": ""261547"", ""gen"": ""Penelope"", ""sp"": ""ortoni"", ""ssp"": """", ""group"": ""birds"", ""en"": ""Baudo Guan"", ""rec"": ""Olaf Jahn"", ""cnt"": ""Ecuador"", ""loc"": ""Esmeraldas: Playa de Oro, village and vicinity, R\u00edo Santiago"", ""lat"": ""0.883"", ""lng"": ""-78.8"", ""alt"": ""70"", ""type"": ""alarm call, wing noise"", ""sex"": """", ""stage"": """", ""method"": ""field recording"", ""url"": ""//xeno-canto.org/261547"", ""file"": ""https://xeno-canto.org/261547/download"", ""file-name"": ""XC261547-23.005.07.Baudo_Guan.mp3"", ""sono"": {""small"": ""//xeno-canto.org/sounds/uploaded/UZXDJEAXMH/ffts/XC261547-small.png"", ""med"": ""//xeno-canto.org/sounds/uploaded/UZXDJEAXMH/ffts/XC261547-med.png"", ""large"": ""//xeno-canto.org/sounds/uploaded/UZXDJEAXMH/ffts/XC261547-large.png"", ""full"": ""//xeno-canto.org/sounds/uploaded/UZXDJEAXMH/ffts/XC261547-full.png""}, ""osci"": {""small"": ""//xeno-canto.org/sounds/uploaded/UZXDJEAXMH/wave/XC261547-small.png"", ""med"": ""//xeno-canto.org/sounds/uploaded/UZXDJEAXMH/wave/XC261547-med.png"", ""large"": ""//xeno-canto.org/sounds/uploaded/UZXDJEAXMH/wave/XC261547-large.png""}, ""lic"": ""//creativecommons.org/licenses/by-nc-sa/4.0/"", ""q"": ""A"", ""length"": ""0:16"", ""time"": ""?"", ""date"": ""1999-07-27"", ""uploaded"": ""2015-07-19"", ""also"": [], ""rmk"": ""<a href=http://johnvmoorenaturerecordings.com/pubs/ECUAD/main.htm>Moore et al. 2013: Bird Sounds of Ecuador DVD </a>Bird flushed from the ground. Looped once"", ""bird-seen"": ""unknown"", ""animal-seen"": ""unknown"", ""playback-used"": ""no"", ""temp"": """", ""regnr"": """", ""auto"": ""no"", ""dvc"": """", ""mic"": """", ""smp"": ""44100""}]}"
62895,"{""numRecordings"": ""1"", ""numSpecies"": ""1"", ""page"": 1, ""numPages"": 1, ""recordings"": [{""id"": ""62895"", ""gen"": ""Tinamus"", ""sp"": ""osgoodi"", ""ssp"": """", ""group"": ""birds"", ""en"": ""Black Tinamou"", ""rec"": ""Daniel Lane"", ""cnt"": ""Peru"", ""loc"": ""Megantoni Camp 1, Cusco dept."", ""lat"": ""-12.175"", ""lng"": ""-72.631"", ""alt"": ""840"", ""type"": ""song"", ""sex"": """", ""stage"": """", ""method"": ""field recording"", ""url"": ""//xeno-canto.org/62895"", ""file"": ""https://xeno-canto.org/62895/download"", ""file-name"": ""Tinamus osgoodii0403-021.mp3"", ""sono"": {""small"": ""//xeno-canto.org/sounds/uploaded/WOEAFQRMUD/ffts/XC62895-small.png"", ""med"": ""//xeno-canto.org/sounds/uploaded/WOEAFQRMUD/ffts/XC62895-med.png"", ""large"": ""//xeno-canto.org/sounds/uploaded/WOEAFQRMUD/ffts/XC62895-large.png"", ""full"": ""//xeno-canto.org/sounds/uploaded/WOEAFQRMUD/ffts/XC62895-full.png""}, ""osci"": {""small"": ""//xeno-canto.org/sounds/uploaded/WOEAFQRMUD/wave/XC62895-small.png"", ""med"": ""//xeno-canto.org/sounds/uploaded/WOEAFQRMUD/wave/XC62895-med.png"", ""large"": ""//xeno-canto.org/sounds/uploaded/WOEAFQRMUD/wave/XC62895-large.png""}, ""lic"": ""//creativecommons.org/licenses/by-nc-sa/3.0/"", ""q"": ""C"", ""length"": ""0:16"", ""time"": ""5:35"", ""date"": ""2004-04-28"", ""uploaded"": ""2010-10-06"", ""also"": [""Cymbilaimus sanctaemariae"", ""Synallaxis gujanensis""], ""rmk"": ""Natural song at dusk from across valley."", ""bird-seen"": ""unknown"", ""animal-seen"": ""unknown"", ""playback-used"": ""unknown"", ""temp"": """", ""regnr"": """", ""auto"": ""no"", ""dvc"": """", ""mic"": """", ""smp"": ""44100""}]}"
