sample_idx,sample,slice,cluster,label,rating
0,horlar/XC485433.mp3,0,1,48,5.0
1,buhvir/XC134504.mp3,0,7,21,5.0
2,buhvir/XC134504.mp3,1,7,21,5.0
3,buhvir/XC134504.mp3,2,7,21,5.0
4,buhvir/XC134504.mp3,3,7,21,5.0
5,buhvir/XC134504.mp3,4,7,21,5.0
6,buhvir/XC134504.mp3,5,7,21,5.0
7,buhvir/XC134504.mp3,6,7,21,5.0
8,buhvir/XC134504.mp3,7,7,21,5.0
9,buhvir/XC134504.mp3,8,7,21,5.0
10,buhvir/XC134504.mp3,9,7,21,5.0
11,buhvir/XC134504.mp3,10,7,21,5.0
12,buhvir/XC134504.mp3,11,7,21,5.0
13,buhvir/XC134504.mp3,12,7,21,5.0
14,buhvir/XC134504.mp3,13,7,21,5.0
15,buhvir/XC134504.mp3,14,7,21,5.0
16,buhvir/XC134504.mp3,15,7,21,5.0
17,buhvir/XC134504.mp3,16,7,21,5.0
18,buhvir/XC134504.mp3,17,7,21,5.0
19,buhvir/XC134504.mp3,18,7,21,5.0
20,warvir/XC253391.mp3,0,4,89,4.5
21,warvir/XC253391.mp3,1,0,89,4.5
22,warvir/XC253391.mp3,2,4,89,4.5
23,warvir/XC253391.mp3,3,0,89,4.5
24,warvir/XC253391.mp3,4,0,89,4.5
25,btnwar/XC138159.mp3,0,3,19,3.5
26,btnwar/XC138159.mp3,1,3,19,3.5
27,btnwar/XC138159.mp3,2,3,19,3.5
28,btnwar/XC138159.mp3,3,3,19,3.5
29,btnwar/XC138159.mp3,4,3,19,3.5
30,lesgol/XC37674.mp3,0,4,53,4.0
31,lesgol/XC37674.mp3,1,4,53,4.0
32,lesgol/XC437230.mp3,0,0,53,4.0
33,yerwar/XC138635.mp3,0,6,99,4.5
34,yerwar/XC138635.mp3,1,6,99,4.5
35,yerwar/XC138635.mp3,2,6,99,4.5
36,yerwar/XC138635.mp3,3,6,99,4.5
37,yerwar/XC138635.mp3,4,6,99,4.5
38,yerwar/XC138635.mp3,5,6,99,4.5
39,marwre/XC144751.mp3,0,0,60,5.0
40,marwre/XC144751.mp3,1,0,60,5.0
41,marwre/XC144751.mp3,2,0,60,5.0
42,marwre/XC144751.mp3,3,0,60,5.0
43,marwre/XC144751.mp3,4,0,60,5.0
44,marwre/XC144751.mp3,5,0,60,5.0
45,marwre/XC144751.mp3,6,0,60,5.0
46,amered/XC187609.mp3,0,4,3,4.0
47,amered/XC187609.mp3,1,4,3,4.0
48,amered/XC187609.mp3,2,4,3,4.0
49,amered/XC187609.mp3,3,0,3,4.0
50,amered/XC187609.mp3,4,4,3,4.0
51,amered/XC187609.mp3,5,4,3,4.0
52,amered/XC187609.mp3,6,4,3,4.0
53,amered/XC187609.mp3,7,4,3,4.0
54,amered/XC187609.mp3,8,4,3,4.0
55,amered/XC187609.mp3,9,4,3,4.0
56,amered/XC187609.mp3,10,4,3,4.0
57,amered/XC187609.mp3,11,4,3,4.0
58,amered/XC187609.mp3,12,4,3,4.0
59,amered/XC187609.mp3,13,4,3,4.0
60,amered/XC187609.mp3,14,4,3,4.0
61,amered/XC187609.mp3,15,4,3,4.0
62,amered/XC187609.mp3,16,4,3,4.0
63,amered/XC187609.mp3,17,0,3,4.0
64,amered/XC187609.mp3,18,0,3,4.0
65,amered/XC187609.mp3,19,0,3,4.0
66,brnthr/XC313387.mp3,0,6,18,4.0
67,brnthr/XC313387.mp3,1,6,18,4.0
68,brnthr/XC313387.mp3,2,6,18,4.0
69,brnthr/XC313387.mp3,3,6,18,4.0
70,brnthr/XC313387.mp3,4,6,18,4.0
71,brnthr/XC313387.mp3,5,6,18,4.0
72,brnthr/XC313387.mp3,6,6,18,4.0
73,brnthr/XC313387.mp3,7,6,18,4.0
74,brnthr/XC313387.mp3,8,6,18,4.0
75,hoowar/XC132644.mp3,0,3,47,3.5
76,hoowar/XC132644.mp3,1,3,47,3.5
77,hoowar/XC132644.mp3,2,3,47,3.5
78,hoowar/XC132644.mp3,3,3,47,3.5
79,hoowar/XC132644.mp3,4,3,47,3.5
80,hoowar/XC132644.mp3,5,3,47,3.5
81,hoowar/XC132644.mp3,6,3,47,3.5
82,wesmea/XC337566.mp3,0,7,90,4.5
83,wesmea/XC337566.mp3,1,0,90,4.5
84,wesmea/XC337566.mp3,2,4,90,4.5
